country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc,complete_case,exports_log,port_teu_log,exports_tier,port_tier,lsc_tier
Indonesia,IDN,2016,144490000000.0,10535691.0,217.8325,True,True,True,True,11.159837791071107,7.022663024770469,High,High,High
"Iran, Islamic Rep.",IRN,2016,72903000000.0,2462028.0,112.295,True,True,True,True,10.862745400151145,6.391292987740848,High,High,High
Iraq,IRQ,2016,41298000000.0,220859.7,36.77,True,True,True,True,10.615929019937377,5.344116477916188,High,Medium,Medium
Ireland,IRL,2016,130864000000.0,916833.0,58.34,True,True,True,True,11.116820190846784,5.962290236669536,High,Medium,Medium
Isle of Man,IMN,2016,,,,False,False,False,False,,,,,
Israel,ISR,2016,60571000000.0,2711000.0,111.48,True,True,True,True,10.78226474372929,6.433129517580485,High,High,High
Italy,ITA,2016,461737000000.0,10589293.0,289.39,True,True,True,True,11.664394676916302,7.024866965164281,High,High,High
Jamaica,JAM,2016,1202000000.0,1567442.0,100.8225,True,True,True,True,9.07990446766672,6.195191479616962,Low,High,High
Japan,JPN,2016,645052000000.0,21678076.0,416.83,True,True,True,True,11.809594726112435,7.336020734523986,High,High,High
Jordan,JOR,2016,7549000000.0,792841.0,65.86500000000001,True,True,True,True,9.877889425371484,5.899186100626247,Medium,Medium,Medium
Kazakhstan,KAZ,2016,36685000000.0,,,True,False,False,False,10.564488523410793,,High,,
Kenya,KEN,2016,5695000000.0,1091000.0,56.335,True,True,True,True,9.75549372841512,6.037824750588342,Medium,Medium,Medium
Kiribati,KIR,2016,11000000.0,49005.46,16.685,True,True,True,True,7.041392685158225,4.690244470146241,Low,Low,Low
"Korea, Dem. People's Rep.",PRK,2016,3006000000.0,,,True,False,False,False,9.47798897625089,,Medium,,
"Korea, Rep.",KOR,2016,495426000000.0,25945418.0,536.4275,True,True,True,True,11.694978794660457,7.414060671894738,High,High,High
Kosovo,XKX,2016,,,,False,False,False,False,,,,,
Kuwait,KWT,2016,46273000000.0,944432.0,33.557500000000005,True,True,True,True,10.665327656863418,5.975170693768799,High,Medium,Medium
Kyrgyz Republic,KGZ,2016,1573000000.0,,,True,False,False,False,9.196728722623288,,Low,,
