country_name,country_code,year,exports_usd
Slovak Republic,SVK,2017,83414000000.0
Slovenia,SVN,2017,38443000000.0
Solomon Islands,SLB,2017,500000000.0
"Somalia, Fed. Rep.",SOM,2017,464000000.0
South Africa,ZAF,2017,88947000000.0
South Sudan,SSD,2017,
Spain,ESP,2017,319531000000.0
Sri Lanka,LKA,2017,11360000000.0
St. Kitts and Nevis,KNA,2017,50000000.0
St. Lucia,LCA,2017,127000000.0
St. Martin (French part),MAF,2017,123000000.0
St. Vincent and the Grenadines,VCT,2017,42000000.0
Sudan,SDN,2017,4100000000.0
Suriname,SUR,2017,1992000000.0
Sweden,SWE,2017,152920000000.0
Switzerland,CHE,2017,299603000000.0
Syrian Arab Republic,SYR,2017,2555000000.0
Tajikistan,TJK,2017,1198000000.0
Tanzania,TZA,2017,4113000000.0
Thailand,THA,2017,236635000000.0
Timor-Leste,TLS,2017,23000000.0
Togo,TGO,2017,1016000000.0
Tonga,TON,2017,19000000.0
Trinidad and Tobago,TTO,2017,8741000000.0
Tunisia,TUN,2017,14204000000.0
Turkiye,TUR,2017,164495000000.0
Turkmenistan,TKM,2017,7458000000.0
Turks and Caicos Islands,TCA,2017,4000000.0
Tuvalu,TUV,2017,0.0
Uganda,UGA,2017,2901000000.0
Ukraine,UKR,2017,43265000000.0
United Arab Emirates,ARE,2017,313603000000.0
United Kingdom,GBR,2017,440997000000.0
United States,USA,2017,1546273000000.0
Uruguay,URY,2017,7888000000.0
Uzbekistan,UZB,2017,10079000000.0
Vanuatu,VUT,2017,47000000.0
"Venezuela, RB",VEN,2017,31960000000.0
Viet Nam,VNM,2017,215014000000.0
Virgin Islands (U.S.),VIR,2017,
West Bank and Gaza,PSE,2017,
"Yemen, Rep.",YEM,2017,418000000.0
Zambia,ZMB,2017,8000000000.0
Zimbabwe,ZWE,2017,3481000000.0
Africa Eastern and Southern,AFE,2017,197516652469.442
Africa Western and Central,AFW,2017,116364000000.0
Arab World,ARB,2017,911317272336.128
Caribbean small states,CSS,2017,13867000000.0
Central Europe and the Baltics,CEB,2017,829023000000.0
Early-demographic dividend,EAR,2017,2072833733158.4
East Asia & Pacific,EAS,2017,6011228226274.03
East Asia & Pacific (excluding high income),EAP,2017,3220292220125.8
East Asia & Pacific (IDA & IBRD countries),TEA,2017,3218543220299.96
Euro area,EMU,2017,4578782000000.0
Europe & Central Asia,ECS,2017,7035890028874.99
Europe & Central Asia (excluding high income),ECA,2017,360971650587.44
Europe & Central Asia (IDA & IBRD countries),TEC,2017,1066550741135.16
European Union,EUU,2017,5466719000000.0
Fragile and conflict affected situations,FCS,2017,286500633886.668
Heavily indebted poor countries (HIPC),HPC,2017,131099000000.0
High income,HIC,2017,12390382550431.8
IBRD only,IBD,2017,5927538000000.0
IDA & IBRD total,IBT,2017,6244337487921.58
IDA blend,IDB,2017,124126000000.0
IDA only,IDX,2017,193155864893.596
IDA total,IDA,2017,316925967469.324
