country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc
Suriname,SUR,2016,1439000000.0,98652.0,40.23,True,True,True
Sweden,SWE,2016,139290000000.0,1509886.0,119.6625,True,True,True
Switzerland,CHE,2016,302900000000.0,114498.0,,True,True,False
Syrian Arab Republic,SYR,2016,2377000000.0,253415.0,32.155,True,True,True
Tajikistan,TJK,2016,899000000.0,,,True,False,False
Tanzania,TZA,2016,4500000000.0,630290.0,53.255,True,True,True
Thailand,THA,2016,215388000000.0,9340560.0,215.64,True,True,True
Timor-Leste,TLS,2016,20000000.0,49177.0,11.595,True,True,True
Togo,TGO,2016,1036000000.0,821639.0,78.145,True,True,True
Tonga,TON,2016,21000000.0,84702.43,27.0425,True,True,True
Trinidad and Tobago,TTO,2016,7633000000.0,427427.0,70.285,True,True,True
Tunisia,TUN,2016,13572000000.0,489670.0,43.83,True,True,True
Turkiye,TUR,2016,149247000000.0,8760769.0,220.36,True,True,True
Turkmenistan,TKM,2016,6964000000.0,,,True,False,False
Turks and Caicos Islands,TCA,2016,4000000.0,,,True,False,False
Tuvalu,TUV,2016,0.0,15844.34,8.79,True,True,True
Uganda,UGA,2016,2482000000.0,,,True,False,False
Ukraine,UKR,2016,36360000000.0,680623.0,63.6575,True,True,True
United Arab Emirates,ARE,2016,295031000000.0,20652200.0,302.525,True,True,True
United Kingdom,GBR,2016,410856000000.0,10200229.0,403.76,True,True,True
United States,USA,2016,1451011000000.0,48149002.0,475.3625,True,True,True
Uruguay,URY,2016,7043000000.0,888119.0,84.4225,True,True,True
Uzbekistan,UZB,2016,8974000000.0,,,True,False,False
Vanuatu,VUT,2016,50000000.0,115886.9,24.815,True,True,True
Viet Nam,VNM,2016,176581000000.0,11282230.0,280.805,True,True,True
Virgin Islands (U.S.),VIR,2016,,,,False,False,False
West Bank and Gaza,PSE,2016,,,,False,False,False
"Yemen, Rep.",YEM,2016,411000000.0,268208.0,31.165,True,True,True
Zambia,ZMB,2016,6372000000.0,,,True,False,False
Zimbabwe,ZWE,2016,3335000000.0,,,True,False,False
Afghanistan,AFG,2017,723000000.0,,,True,False,False
Albania,ALB,2017,2292000000.0,118270.0,16.1575,True,True,True
Algeria,DZA,2017,35191000000.0,1725198.0,70.2525,True,True,True
American Samoa,ASM,2017,397000000.0,92270.0,25.5,True,True,True
Andorra,AND,2017,118000000.0,,,True,False,False
Angola,AGO,2017,34613000000.0,683548.0,71.3725,True,True,True
Antigua and Barbuda,ATG,2017,21000000.0,17311.0,17.28,True,True,True
Argentina,ARG,2017,58644000000.0,1809153.0,104.2275,True,True,True
Armenia,ARM,2017,2245000000.0,,,True,False,False
Aruba,ABW,2017,135000000.0,31689.0,25.555,True,True,True
Australia,AUS,2017,231131000000.0,7991508.0,145.995,True,True,True
Austria,AUT,2017,168026000000.0,285900.0,,True,True,False
Azerbaijan,AZE,2017,15481000000.0,,,True,False,False
"Bahamas, The",BHS,2017,473000000.0,920652.0,76.5075,True,True,True
Bahrain,BHR,2017,15376000000.0,400307.0,47.7125,True,True,True
Bangladesh,BGD,2017,35851000000.0,2583549.0,57.51,True,True,True
Barbados,BRB,2017,485000000.0,107098.0,38.1575,True,True,True
Belarus,BLR,2017,29267000000.0,,,True,False,False
Belgium,BEL,2017,429645000000.0,10783850.0,396.1625,True,True,True
Belize,BLZ,2017,457000000.0,44381.0,28.975,True,True,True
Benin,BEN,2017,2216000000.0,333000.0,57.879999999999995,True,True,True
Bermuda,BMU,2017,18000000.0,4437.324,7.77,True,True,True
Bhutan,BTN,2017,573000000.0,,,True,False,False
Bolivia,BOL,2017,7846000000.0,,,True,False,False
Bosnia and Herzegovina,BIH,2017,6402000000.0,,,True,False,False
Botswana,BWA,2017,5870000000.0,,,True,False,False
Brazil,BRA,2017,214988000000.0,9380502.0,118.56,True,True,True
British Virgin Islands,VGB,2017,,49149.42,21.4525,False,True,True
Brunei Darussalam,BRN,2017,5571000000.0,104747.0,23.2475,True,True,True
Bulgaria,BGR,2017,31438000000.0,228545.0,25.465,True,True,True
Burkina Faso,BFA,2017,2875000000.0,,,True,False,False
Burundi,BDI,2017,172000000.0,,,True,False,False
Cabo Verde,CPV,2017,52000000.0,74554.0,13.8475,True,True,True
Cambodia,KHM,2017,11278000000.0,459835.0,34.5975,True,True,True
Cameroon,CMR,2017,3233000000.0,386367.0,56.38,True,True,True
Canada,CAN,2017,420665000000.0,6377236.0,160.405,True,True,True
Cayman Islands,CYM,2017,39000000.0,61940.0,6.67,True,True,True
Central African Republic,CAF,2017,140000000.0,,,True,False,False
Chad,TCD,2017,2621000000.0,,,True,False,False
Channel Islands,CHI,2017,,,,False,False,False
Chile,CHL,2017,68823000000.0,4407502.0,99.11,True,True,True
China,CHN,2017,2263346000000.0,218712874.0,929.1375,True,True,True
Colombia,COL,2017,36897000000.0,3877937.0,179.89499999999998,True,True,True
Comoros,COM,2017,39000000.0,52673.2,14.9,True,True,True
"Congo, Dem. Rep.",COD,2017,12296000000.0,52066.0,23.735,True,True,True
"Congo, Rep.",COG,2017,8252000000.0,650000.0,76.5575,True,True,True
Costa Rica,CRI,2017,10769000000.0,1489326.0,87.1525,True,True,True
Cote d'Ivoire,CIV,2017,11853000000.0,907646.0,71.07249999999999,True,True,True
Croatia,HRV,2017,16069000000.0,288235.0,64.6025,True,True,True
Cuba,CUB,2017,2402000000.0,332240.0,34.85,True,True,True
Curacao,CUW,2017,425000000.0,93921.0,25.555,True,True,True
Cyprus,CYP,2017,3288000000.0,345016.0,48.18,True,True,True
Czechia,CZE,2017,182142000000.0,,,True,False,False
Denmark,DNK,2017,102506000000.0,820139.0,96.9875,True,True,True
Djibouti,DJI,2017,3162000000.0,928000.0,80.745,True,True,True
Dominica,DMA,2017,12000000.0,7425.0,18.22,True,True,True
Dominican Republic,DOM,2017,10135000000.0,1770295.0,131.9175,True,True,True
Ecuador,ECU,2017,19122000000.0,1990210.0,100.885,True,True,True
"Egypt, Arab Rep.",EGY,2017,25604000000.0,6337413.0,217.1525,True,True,True
El Salvador,SLV,2017,5760000000.0,209903.0,32.05,True,True,True
Equatorial Guinea,GNQ,2017,4970000000.0,13301.0,32.5625,True,True,True
Eritrea,ERI,2017,583000000.0,12551.97,5.49,True,True,True
Estonia,EST,2017,14559000000.0,229905.0,35.8675,True,True,True
Eswatini,SWZ,2017,1801000000.0,,,True,False,False
Faroe Islands,FRO,2017,1305756809.93165,34942.61,14.59,True,True,True
Fiji,FJI,2017,956000000.0,276943.9,42.665,True,True,True
Finland,FIN,2017,68073000000.0,1630089.0,83.7475,True,True,True
France,FRA,2017,535298000000.0,5738031.0,287.64250000000004,True,True,True
French Polynesia,PYF,2017,153000000.0,69192.0,39.665,True,True,True
Gabon,GAB,2017,5771000000.0,156000.0,42.825,True,True,True
"Gambia, The",GMB,2017,124000000.0,62500.0,20.43,True,True,True
Georgia,GEO,2017,2746000000.0,,20.3875,True,False,True
Germany,DEU,2017,1448191000000.0,15163474.0,373.52,True,True,True
Ghana,GHA,2017,13835000000.0,1009755.0,77.99,True,True,True
Gibraltar,GIB,2017,,4626.185,7.01,False,True,True
Greece,GRC,2017,32627000000.0,4602808.0,159.8675,True,True,True
Greenland,GRL,2017,596000000.0,6998.705,5.52,True,True,True
Grenada,GRD,2017,30000000.0,21914.0,23.0825,True,True,True
Guam,GUM,2017,33000000.0,198681.0,25.630000000000003,True,True,True
Guatemala,GTM,2017,10990000000.0,1389751.0,96.255,True,True,True
Guinea,GIN,2017,4594000000.0,203373.0,37.2825,True,True,True
Guinea-Bissau,GNB,2017,339000000.0,56819.16,13.825,True,True,True
Guyana,GUY,2017,1437000000.0,57663.0,43.6625,True,True,True
Haiti,HTI,2017,980000000.0,177141.0,35.685,True,True,True
Honduras,HND,2017,8656000000.0,797293.0,67.9425,True,True,True
"Hong Kong SAR, China",HKG,2017,549865000000.0,20760000.0,464.8575,True,True,True
Hungary,HUN,2017,113806000000.0,,,True,False,False
Iceland,ISL,2017,4878000000.0,350348.0,19.7275,True,True,True
India,IND,2017,299241000000.0,15450523.0,253.9225,True,True,True
Indonesia,IDN,2017,168811000000.0,12076306.0,224.0425,True,True,True
"Iran, Islamic Rep.",IRN,2017,92764000000.0,3091066.0,104.7125,True,True,True
Iraq,IRQ,2017,57559000000.0,823944.7,58.5675,True,True,True
Ireland,IRL,2017,137359000000.0,958488.0,52.57,True,True,True
Isle of Man,IMN,2017,,,,False,False,False
Israel,ISR,2017,61150000000.0,2868000.0,113.4525,True,True,True
Italy,ITA,2017,507418000000.0,10666550.0,288.815,True,True,True
Jamaica,JAM,2017,1310000000.0,1560000.0,101.2075,True,True,True
Japan,JPN,2017,698329000000.0,22795035.0,396.68,True,True,True
Jordan,JOR,2017,7511000000.0,796087.0,64.995,True,True,True
Kazakhstan,KAZ,2017,48304000000.0,,,True,False,False
